split,comparison,score_key,target_key,n,spearman,top_bottom_gap,auc,score_mean,target_mean
train,DAGIG_total vs R@5,DAGIG_total,retrieval_r5,1796,0.2191956435499467,0.28285077951002224,0.630158047183276,0.10389409075870858,0.6169265033407573
train,DAGIG_total vs evidence_support,DAGIG_total,evidence_support,1832,0.20563140010358996,0.24454148471615722,0.6279118674552938,0.08602231874020981,0.6861353711790393
train,DAGIG_total vs answer F1,DAGIG_total,answer_f1,1832,0.05959912458370069,0.027098376784893866,,0.08602231874020981,0.12056562918494293
train,R_ground vs IoU,R_ground,ground_iou,1832,0.5514200523848587,0.2896905071774639,,-0.06988542196966713,0.281347129709783
train,R_ground vs center-hit,R_ground,ground_center_hit,1832,0.5504590359785035,0.6943231441048034,0.8289357212471277,-0.06988542196966713,0.6293668122270742
train,R_search vs R@5,R_search,retrieval_r5,1796,0.2367650527591232,0.2962138084632516,0.626685679204097,0.07238991538239173,0.6169265033407573
train,R_search vs MRR,R_search,retrieval_mrr,1796,0.21775573634122214,0.23010524896766577,,0.07238991538239173,0.50695201069603
train,R_evidence vs evidence_support,R_evidence,evidence_support,1832,0.24608581445704153,0.24017467248908297,0.6252139324132683,-0.04273335117332906,0.6861353711790393
dev,DAGIG_total vs R@5,DAGIG_total,retrieval_r5,383,0.11585869131348628,0.12631578947368421,0.5690376569037657,0.11930397277603144,0.6240208877284595
dev,DAGIG_total vs evidence_support,DAGIG_total,evidence_support,392,0.13034239852867754,0.09183673469387754,0.5814400292763259,0.09307565615220541,0.6913265306122449
dev,DAGIG_total vs answer F1,DAGIG_total,answer_f1,392,0.03661677083877286,0.018143960442722068,,0.09307565615220541,0.1419300285470266
dev,R_ground vs IoU,R_ground,ground_iou,392,0.49042859454876014,0.24691815246991733,,-0.07333473055587648,0.2653534526406512
dev,R_ground vs center-hit,R_ground,ground_center_hit,392,0.3995751905969366,0.5612244897959183,0.735810534912209,-0.07333473055587648,0.6045918367346939
dev,R_search vs R@5,R_search,retrieval_r5,383,0.031121432260168155,0.0,0.5164167828916782,0.07102975552742216,0.6240208877284595
dev,R_search vs MRR,R_search,retrieval_mrr,383,0.022243104221482568,0.005385280343657484,,0.07102975552742216,0.5196097629855679
dev,R_evidence vs evidence_support,R_evidence,evidence_support,392,0.30375624799267154,0.2959183673469388,0.6569790491293342,-0.014406647216515913,0.6913265306122449
test,DAGIG_total vs R@5,DAGIG_total,retrieval_r5,251,0.2309358275718541,0.2419354838709678,0.6347676531671859,-0.009634254586940465,0.5737051792828686
test,DAGIG_total vs evidence_support,DAGIG_total,evidence_support,256,0.20549226937205556,0.171875,0.6248647186147186,-0.02144835790052642,0.65625
test,DAGIG_total vs answer F1,DAGIG_total,answer_f1,256,-0.055764381261853756,-0.0670763652751944,,-0.02144835790052642,0.13620559030507978
test,R_ground vs IoU,R_ground,ground_iou,256,0.5219356807774271,0.22895572973805337,,-0.07435605688510491,0.31314713132957467
test,R_ground vs center-hit,R_ground,ground_center_hit,256,0.5224432612163559,0.640625,0.8087820512820513,-0.07435605688510491,0.609375
test,R_search vs R@5,R_search,retrieval_r5,251,0.18154160270165307,0.3225806451612903,0.5942367601246106,0.038825247376428534,0.5737051792828686
test,R_search vs MRR,R_search,retrieval_mrr,251,0.13975319300698488,0.18683448775428863,,0.038825247376428534,0.47597079702168293
test,R_evidence vs evidence_support,R_evidence,evidence_support,256,0.40718328252698804,0.453125,0.7049512987012987,-0.08779651950382693,0.65625
